id,sede,modalidad,genero,horas_estudio,asistencia_pct,sueno_hs,ansiedad_score,promedio_prev,trabajos_entregados,tutorias,puntaje_final,aprobado
E001,Norte,Virtual,F,15.26,76.4,6.91,10.74,84.53,9,No,100.0,Aprobado
E002,Centro,Presencial,M,14.41,85.31,7.02,37.85,68.18,5,No,62.24,Reprobado
E003,Sur,Virtual,F,10.91,74.39,5.73,21.22,83.0,9,No,60.17,Reprobado
E004,Norte,Presencial,F,14.25,83.46,6.24,17.69,78.6,10,No,79.33,Aprobado
E005,Centro,Virtual,F,8.81,93.79,8.1,25.52,91.32,6,No,76.59,Aprobado
E006,Sur,Presencial,F,12.65,85.8,6.44,26.42,49.79,7,No,62.53,Reprobado
E007,Norte,Presencial,M,16.37,86.35,6.3,27.56,81.51,9,No,86.54,Aprobado
E008,Sur,Virtual,F,12.28,78.56,5.12,13.82,67.04,7,Si,72.69,Aprobado
E009,Centro,Presencial,M,13.79,98.19,6.91,10.33,75.15,8,Si,90.23,Aprobado
E010,Sur,Virtual,M,12.03,83.15,7.72,11.77,76.01,7,No,87.7,Aprobado
E011,Norte,Presencial,M,9.83,83.85,7.16,28.72,67.03,5,Si,76.45,Aprobado
E012,Centro,Presencial,F,9.26,79.89,6.26,19.68,62.39,7,No,64.12,Reprobado
E013,Norte,Virtual,F,11.42,88.94,8.8,25.73,86.64,10,No,93.12,Aprobado
E014,Sur,Virtual,M,11.24,78.62,6.96,41.49,74.78,6,No,70.94,Aprobado
E015,Norte,Virtual,F,15.06,92.64,7.35,29.53,83.08,10,Si,81.11,Aprobado
E016,Centro,Presencial,M,6.26,89.64,6.87,20.14,85.37,6,No,70.35,Aprobado
E017,Centro,Presencial,M,9.39,86.97,6.87,47.07,95.0,7,Si,63.47,Reprobado
E018,Centro,Virtual,F,13.59,65.59,6.34,41.5,75.41,6,No,72.61,Aprobado
E019,Sur,Virtual,F,9.26,73.66,6.44,48.66,63.81,4,No,53.79,Reprobado
E020,Sur,Virtual,X,12.87,71.31,6.37,25.79,72.82,5,Si,83.21,Aprobado
E021,Norte,Virtual,M,11.79,75.98,6.37,15.7,83.88,6,Si,79.15,Aprobado
E022,Norte,Virtual,M,8.31,72.53,5.78,36.87,68.98,5,Si,60.87,Reprobado
E023,Norte,Presencial,M,7.34,83.78,5.92,44.18,66.47,9,Si,74.79,Aprobado
E024,Centro,Virtual,M,6.15,87.81,8.02,23.1,53.73,6,No,55.54,Reprobado
E025,Norte,Presencial,M,13.89,81.72,7.7,15.28,75.08,2,No,96.42,Aprobado
E026,Sur,Presencial,F,9.67,79.43,7.9,18.23,69.94,6,No,73.89,Aprobado
E027,Norte,Presencial,F,9.38,86.83,7.64,19.31,69.63,7,Si,57.48,Reprobado
E028,Norte,Presencial,F,14.89,100.0,6.87,6.0,79.57,7,No,76.13,Aprobado
E029,Centro,Presencial,M,17.58,93.25,7.71,22.16,72.81,6,No,78.31,Aprobado
E030,Sur,Virtual,M,7.78,69.38,7.19,52.0,75.69,8,Si,62.26,Reprobado
E031,Sur,Virtual,M,9.45,87.79,5.69,25.26,95.0,6,No,94.42,Aprobado
E032,Sur,Virtual,M,9.94,85.66,7.34,35.39,81.16,6,Si,71.41,Aprobado
E033,Centro,Presencial,F,10.67,83.4,7.23,42.33,73.66,7,No,68.21,Reprobado
E034,Centro,Virtual,F,11.85,80.12,7.13,22.32,73.05,5,Si,86.6,Aprobado
E035,Norte,Presencial,F,12.62,91.97,5.63,13.57,69.1,7,Si,86.01,Aprobado
E036,Centro,Virtual,M,12.16,87.75,6.73,35.95,73.59,8,Si,63.91,Reprobado
E037,Centro,Presencial,F,11.88,85.26,7.43,49.76,63.36,6,No,58.25,Reprobado
E038,Centro,Virtual,F,7.31,60.87,6.91,27.62,72.94,7,No,61.62,Reprobado
E039,Norte,Presencial,M,16.05,92.79,6.13,10.17,57.42,4,No,72.37,Aprobado
E040,Centro,Virtual,M,10.01,92.69,7.39,16.26,81.63,9,No,76.51,Aprobado
E041,Sur,Virtual,M,8.19,79.72,7.3,23.8,87.11,8,No,64.21,Reprobado
E042,Norte,Presencial,M,15.97,99.07,6.53,16.17,67.32,7,No,82.52,Aprobado
E043,Norte,Virtual,M,12.48,76.33,7.47,31.76,63.47,6,Si,64.25,Reprobado
E044,Norte,Presencial,F,16.37,94.17,6.86,11.82,62.9,4,No,83.32,Aprobado
E045,Norte,Virtual,F,12.73,79.24,6.9,41.39,78.4,4,Si,71.43,Aprobado
E046,Norte,Presencial,M,13.61,81.15,7.45,31.91,78.63,8,No,85.72,Aprobado
E047,Sur,Presencial,M,8.41,92.13,6.49,28.99,79.34,8,No,68.64,Reprobado
E048,Sur,Presencial,M,15.85,88.05,7.44,20.54,51.54,5,No,70.19,Aprobado
E049,Sur,Virtual,M,10.53,78.17,6.96,24.84,83.37,7,Si,74.99,Aprobado
E050,Norte,Presencial,M,14.23,89.91,8.06,11.5,71.04,5,No,81.86,Aprobado
E051,Norte,Presencial,F,7.38,82.82,6.6,23.47,82.77,6,Si,79.61,Aprobado
E052,Sur,Virtual,F,8.35,65.04,6.62,10.96,87.89,9,No,83.45,Aprobado
E053,Norte,Virtual,F,9.65,76.75,6.4,35.56,69.69,4,Si,53.68,Reprobado
E054,Centro,Virtual,F,7.44,88.54,6.36,32.22,76.93,9,Si,81.62,Aprobado
E055,Norte,Presencial,F,11.9,96.83,7.67,26.47,69.55,6,Si,81.7,Aprobado
E056,Sur,Virtual,F,11.34,79.97,4.93,33.72,67.95,5,Si,68.42,Reprobado
E057,Sur,Presencial,M,12.39,75.52,8.0,9.19,84.74,9,No,76.07,Aprobado
E058,Centro,Virtual,M,10.67,74.28,6.6,29.19,70.0,7,Si,60.85,Reprobado
E059,Centro,Virtual,M,13.73,80.79,6.78,12.07,80.41,8,No,72.87,Aprobado
E060,Sur,Presencial,M,11.28,87.34,6.34,46.31,76.72,6,Si,68.09,Reprobado
E061,Sur,Virtual,M,9.57,80.56,6.37,16.59,83.2,4,No,65.37,Reprobado
E062,Centro,Virtual,F,10.44,89.04,6.96,10.0,91.01,8,No,71.06,Aprobado
E063,Centro,Virtual,M,13.86,78.2,6.71,9.74,78.36,7,No,71.49,Aprobado
E064,Norte,Virtual,M,12.21,96.0,8.08,10.95,82.58,6,No,78.52,Aprobado
E065,Sur,Presencial,F,13.76,83.18,7.92,19.41,86.62,9,No,87.79,Aprobado
E066,Centro,Virtual,X,8.02,68.32,7.87,52.0,77.34,8,Si,59.9,Reprobado
E067,Norte,Virtual,M,7.25,75.35,6.39,25.67,63.78,5,Si,44.84,Reprobado
E068,Sur,Virtual,F,11.6,72.91,5.96,22.03,85.26,6,Si,76.04,Aprobado
E069,Norte,Virtual,F,16.95,82.16,6.97,8.91,75.48,5,Si,87.84,Aprobado
E070,Centro,Presencial,M,15.83,99.84,7.84,9.51,86.89,8,No,98.11,Aprobado
E071,Centro,Virtual,F,5.87,84.77,5.8,33.44,46.39,6,Si,35.0,Reprobado
E072,Centro,Virtual,F,15.16,75.35,4.99,12.43,86.23,9,No,78.59,Aprobado
E073,Centro,Presencial,M,10.57,88.19,7.98,14.99,78.22,5,No,84.29,Aprobado
E074,Centro,Virtual,M,12.84,68.57,5.75,23.71,72.72,9,Si,71.47,Aprobado
E075,Norte,Presencial,M,10.88,94.6,5.43,24.24,82.39,7,No,83.49,Aprobado
E076,Sur,Presencial,M,10.51,88.44,7.59,10.76,81.92,9,No,91.71,Aprobado
E077,Norte,Virtual,X,12.11,87.31,6.55,25.9,80.97,5,No,65.64,Reprobado
E078,Norte,Presencial,F,15.95,71.81,5.57,16.15,81.33,7,No,76.37,Aprobado
E079,Sur,Presencial,M,11.05,86.7,5.26,27.65,62.85,4,Si,63.91,Reprobado
E080,Sur,Virtual,M,14.84,70.5,6.85,28.26,60.08,4,Si,71.18,Aprobado
E081,Norte,Virtual,F,7.57,78.72,7.26,17.94,57.72,5,No,77.71,Aprobado
E082,Sur,Virtual,M,12.25,76.2,6.76,10.96,83.01,7,Si,89.14,Aprobado
E083,Sur,Presencial,M,19.2,84.88,6.56,8.03,67.86,6,No,90.34,Aprobado
E084,Sur,Presencial,M,12.45,81.95,6.28,11.89,66.19,7,No,88.25,Aprobado
E085,Norte,Virtual,F,11.06,77.47,6.47,43.09,73.9,6,Si,55.62,Reprobado
E086,Norte,Presencial,M,14.26,85.86,6.85,20.01,80.39,7,No,89.51,Aprobado
E087,Norte,Virtual,M,15.05,80.56,6.85,24.7,62.8,7,No,82.43,Aprobado
E088,Sur,Virtual,M,8.62,79.03,7.21,26.57,71.24,7,No,65.98,Reprobado
E089,Sur,Virtual,M,16.28,89.23,6.38,16.59,84.21,6,No,100.0,Aprobado
E090,Norte,Presencial,F,11.97,90.83,6.17,20.67,67.56,5,No,77.75,Aprobado
E091,Centro,Virtual,M,12.98,86.5,7.47,22.92,92.73,8,No,94.52,Aprobado
E092,Sur,Virtual,F,12.03,77.5,6.3,11.85,79.2,9,Si,93.5,Aprobado
E093,Sur,Virtual,M,12.74,78.26,6.37,6.0,66.95,7,Si,86.88,Aprobado
E094,Norte,Virtual,M,7.55,87.77,5.23,26.12,78.49,8,Si,67.16,Reprobado
E095,Centro,Virtual,F,12.18,85.55,5.99,26.6,72.1,6,No,71.29,Aprobado
E096,Sur,Virtual,F,8.7,78.65,6.37,46.46,71.6,6,No,47.39,Reprobado
E097,Sur,Presencial,F,15.57,82.0,7.96,18.43,68.24,9,Si,84.6,Aprobado
E098,Centro,Virtual,F,11.74,80.51,7.6,8.95,71.35,6,Si,90.35,Aprobado
E099,Sur,Presencial,F,13.46,87.18,6.66,20.15,72.36,7,Si,81.15,Aprobado
E100,Norte,Presencial,F,12.19,82.51,8.33,35.41,66.97,8,No,69.05,Reprobado
E101,Sur,Presencial,F,14.06,96.79,6.09,29.62,67.39,6,No,79.98,Aprobado
E102,Norte,Virtual,F,11.2,80.04,6.87,27.41,83.39,9,No,75.28,Aprobado
E103,Sur,Virtual,M,14.41,70.6,7.91,10.02,69.42,7,Si,87.05,Aprobado
E104,Centro,Virtual,F,12.97,70.13,6.42,39.84,92.16,7,Si,87.33,Aprobado
E105,Norte,Virtual,M,9.96,85.1,6.03,32.64,80.35,8,Si,65.13,Reprobado
E106,Centro,Presencial,M,15.45,85.46,6.36,18.56,69.26,5,Si,75.15,Aprobado
E107,Centro,Presencial,F,13.63,88.79,7.14,29.43,70.98,8,No,84.37,Aprobado
E108,Sur,Presencial,M,9.79,96.06,7.36,21.21,64.91,6,No,68.72,Reprobado
E109,Centro,Virtual,M,13.2,74.85,6.45,14.64,75.98,4,Si,92.34,Aprobado
E110,Centro,Presencial,M,15.59,88.03,6.99,26.11,71.77,8,No,78.48,Aprobado
E111,Sur,Presencial,F,13.5,100.0,6.19,13.79,69.77,4,No,85.05,Aprobado
E112,Sur,Presencial,F,10.9,93.23,8.21,19.29,79.29,7,Si,86.01,Aprobado
E113,Centro,Presencial,F,11.21,90.34,7.6,13.66,66.78,6,No,82.85,Aprobado
E114,Sur,Virtual,F,14.92,80.92,7.87,20.9,67.91,8,No,79.28,Aprobado
E115,Sur,Virtual,M,9.25,85.47,6.99,38.38,64.64,4,Si,62.51,Reprobado
E116,Norte,Presencial,M,15.45,85.25,6.87,16.57,72.47,4,Si,68.76,Reprobado
E117,Centro,Presencial,F,9.87,87.06,7.64,18.29,71.12,6,No,77.77,Aprobado
E118,Norte,Virtual,M,11.32,80.2,7.37,24.12,73.46,6,No,76.26,Aprobado
E119,Sur,Virtual,F,10.36,78.74,7.74,31.09,78.46,10,No,80.62,Aprobado
E120,Sur,Virtual,M,13.79,79.39,7.65,28.33,80.98,6,Si,84.34,Aprobado
E121,Sur,Presencial,F,12.24,83.74,6.34,6.0,81.59,7,No,91.07,Aprobado
E122,Centro,Presencial,M,11.73,93.53,8.17,12.58,61.98,5,Si,68.89,Reprobado
E123,Norte,Presencial,F,11.98,90.39,5.27,27.77,78.1,7,No,90.79,Aprobado
E124,Sur,Virtual,F,12.97,78.13,5.84,27.43,70.26,5,No,62.29,Reprobado
E125,Sur,Virtual,M,17.73,82.55,6.51,38.6,70.39,6,Si,77.04,Aprobado
E126,Sur,Virtual,M,6.01,88.54,7.16,19.94,59.33,5,Si,67.97,Reprobado
E127,Norte,Presencial,F,11.12,79.25,6.8,18.7,90.17,9,Si,82.77,Aprobado
E128,Norte,Presencial,F,15.16,92.1,6.49,38.59,61.27,8,Si,68.03,Reprobado
E129,Centro,Presencial,F,5.36,86.93,7.55,6.0,69.37,6,No,60.27,Reprobado
E130,Sur,Virtual,F,8.44,72.63,7.3,17.63,74.89,6,No,61.13,Reprobado
E131,Norte,Virtual,F,12.1,78.79,6.87,14.52,73.82,3,No,76.55,Aprobado
E132,Centro,Virtual,F,8.76,70.36,7.38,14.69,65.53,7,No,74.73,Aprobado
E133,Sur,Presencial,F,8.17,87.16,6.09,23.91,78.21,9,No,71.38,Aprobado
E134,Sur,Virtual,M,5.73,91.55,5.27,47.52,84.91,8,No,60.87,Reprobado
E135,Centro,Presencial,M,13.32,96.98,6.25,25.65,68.13,6,Si,86.43,Aprobado
E136,Centro,Virtual,M,12.58,79.08,6.94,22.32,73.66,6,No,61.5,Reprobado
E137,Sur,Presencial,F,11.24,86.42,6.65,19.33,55.23,8,No,70.27,Aprobado
E138,Norte,Virtual,M,14.68,77.89,7.42,13.93,71.78,6,Si,69.17,Reprobado
E139,Norte,Presencial,F,13.4,86.63,6.06,11.99,77.38,8,No,83.81,Aprobado
