"height","weight","age","ball_control","dribbling","slide_tackle","stand_tackle","aggression","reactions","att_position","interceptions","vision","composure","crossing","short_pass","long_pass","acceleration","stamina","strength","balance","sprint_speed","agility","jumping","heading","shot_power","finishing","long_shots","curve","fk_acc","penalties","volleys","gk_positioning","gk_diving","gk_handling","gk_kicking","gk_reflexes"
173,66,23,73,72,45,47,69,64,64,46,67,62,56,72,71,69,58,34,82,67,76,50,34,73,65,70,63,50,48,54,12,12,11,8,6
184,89,24,64,64,19,26,45,59,77,40,68,64,43,70,53,61,61,66,52,65,67,83,79,65,75,64,65,63,78,73,6,10,12,13,14
187,76,26,82,82,54,65,74,81,81,55,83,80,78,83,82,71,63,68,37,69,75,70,71,73,82,75,74,75,72,65,12,10,5,10,8
190,78,23,70,68,61,61,67,56,55,62,70,65,68,70,69,53,69,71,70,53,60,36,60,65,50,66,66,69,72,62,10,10,15,12,13
181,75,25,63,60,58,60,55,60,43,58,50,52,55,60,55,79,73,75,69,79,72,80,60,54,42,34,58,31,40,40,10,7,10,10,14
194,86,23,61,53,22,18,55,65,66,23,43,48,22,58,46,67,63,82,42,64,53,66,76,62,68,59,36,35,58,42,10,7,9,7,11
185,74,25,66,64,62,65,60,70,49,66,66,69,58,69,64,55,80,82,60,55,62,57,64,70,47,57,59,46,41,41,15,10,9,5,10
193,80,23,63,61,20,19,43,52,54,19,43,48,41,55,37,62,58,75,62,68,64,68,61,64,66,51,42,33,45,58,8,13,11,11,10
184,87,31,69,64,21,23,40,71,74,25,58,68,44,62,49,70,78,84,63,75,80,89,70,72,74,60,55,54,72,62,13,10,9,5,8
176,74,32,81,80,79,79,85,81,77,78,80,78,69,84,81,69,76,80,77,68,73,80,63,75,65,72,71,53,52,60,10,9,9,8,15
182,82,21,65,63,29,24,83,69,70,23,55,57,27,50,46,73,67,85,80,76,67,79,70,73,67,62,40,40,62,62,10,15,9,15,9
198,85,23,53,56,19,23,37,56,59,24,49,51,34,50,39,59,51,75,41,55,50,62,55,63,61,55,43,31,59,49,6,5,9,5,9
190,87,31,73,69,40,46,81,70,78,42,68,77,65,69,63,62,77,86,60,66,61,80,79,83,77,70,72,64,68,76,9,9,13,9,16
190,77,20,12,14,14,10,25,46,7,12,39,30,12,23,19,28,28,63,28,17,24,34,14,44,8,6,10,13,13,7,57,59,56,58,60
